text,is_toxic
"и,чё,блядь где этот херой был до этого со своими доказательствами?",1
"О, а есть деанон этого петуха?",1
"херну всякую пишут,из-за этого лайка.долбоебизм.",1
из за таких пидоров мы и страдаем,1
гондон путинский он а не артист,1
как урод такую херню пишет???,1
в гсвг за такие сапоги пиздюлей получил бы от сослуживцев,1
Скудоумие это свойство личности проявлять умственную ограниченность. И где здесь обзывание?,1
Спасибо! Потому что предвзятость модераторов начинает напрягать - модерируют как бык поссал.,1
"У меня бывает говорение о себе в 3-м лице... А может это шизофрения, кто знает?)",1
"Он про марихуану и вообще дуй отсюда, пока твой батя новый аккаунт не спалил.",1
"слышишь тыпиздед! что то вы помощники россии не едите жить в деревню, а прёте в города!",1
"ну и выродки,это твой ребёнок,зачем ты сучка рожала.",1
людям нам тоесть что выбросов нет вешают людям машиной якобы какой то контроль держат ничего козлы не контролируют,1
позорник кадони поддержал зажравшегося меньщикова... без команды боится ребят поддержать и поставить придурка на место...,1
сергей алонцев а ты приедь ко мне в гости на дальний восток чёрт ёбанный сам услышиш,1
Почему у росгвардейца гибддшная палочка?,1
мы всегда лучше вас жили и живём . черти вы ебанные . иди жопу мой ванючка,1
"какой нахрен вид на жительство,он пид)р визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить",1
ну дебил..что с таким чмошником говорить...тебе не на запад..тебе у куев надо..там для тебя все свои будут,1
"жириновский чертовски прав! не светская львица, а блядь, отгодайте в этом случае кем является блогер?",1
Не пытайся меня понять. Не напрягай свои зачатки интеллекта.,1
"зато его урода лправдывают, а людей невиных гнобят.купленые и судьи и адвокаты.твари.",1
"идиоты безголовые, ...бог всё видит, бумеранг существует,...ходите и оглядывайтесь уроды",1
одного не пойму это насколько надо быть быдлом чтобы у стариков отбирать последнее и отправлять на грабленное домой.твари.,1
биба и боба - два долбоёба! один снимает - другой погибает!,1
"какая гадость... уничтожать на корню, эту заразу...",1
"я вообще ничего не писала, а вот ты постоянно пишешь, что там сука, давай, доказывал",1
посадить бойцов в кузов им точно пизда,1
Сидела задумалась как заебала её эта никчёмная жизнь.,1
"получается учитель тупой, исправленного отчества не существует! владиморович",1
давно пора и надо установить доску позора куда вывешивать фото этих уродов которым плох когда другим хорошо...народ должен знать своихгероев!,1
"кто голосует за афганскую борзую ,вы ебанулись чтоль,пройдите в себе,знатоки породы,бляяяя",1
", Если модеры сочтут удалить, да в чем проблема то?",1
"хуй знает кто кум, но девушка красивая👍",1
"аты блять что не хохляр, пиндоская.!",1
"У ТЕБЯ ЕСТЬ ПРАВА НА ЗАРПЛАТУ ПО УКАЗАМ ПУТИНА, НО Т ТЯ СРАКА ТЕБЯ ОБМАНЫВАЕТ, НЕ ВЫПОЛНЯЯ УКАЗЫ САМОГО ПУТИНА!",1
"уроды, а завтра лука приедет опять просить невозвратный кредит..",1
Только вот вся семья его живет в рашке и всех их перевезти не варик,1
ты идиот я разговор веду и незакого нерешаю еще один агресивный чувырло вот так все и начинается,1
не нравится сука???а что же ты народы стравливаешь мразь ???....,1
"что, гандон, сжалось очко ? чс ? алаверды.",1
да по хуй сука пол страны синька чемо.и не хуя молчат.одна кокая мразота известная пережрала водки так пиздец катострофа,1
этих сволочей надо расстрелять за жестокое обращение с животным!,1
это как так же воспитывают что девочки уже трахаються во всю?) сильно слов нет,1
такого пидораса ещё небыло и не будет за всю историю россии русской.,1
37 вылетов за 10 минут!!!!! сосите жопу твари,1
"потомушто долбоебы, зато щас разнообразного хлама полно",1
"пидор, какой еще координационный совет, который представляет горстку кретинов, стремящихся развалить свою страну?",1
ты чё пидор усатый против нас имеешь?,1
